item_name,price,month,year,city_id
item1,34,4,2023,1
item2,25,4,2023,1
item3,22,4,2023,1
item4,28,4,2023,1
item5,13,4,2023,1
item6,19,4,2023,1
item7,13,4,2023,1
item1,29,4,2023,2
item2,18,4,2023,2
item3,15,4,2023,2
item4,26,4,2023,2
item5,4,4,2023,2
item6,11,4,2023,2
item7,5,4,2023,2
item1,25,4,2023,3
item2,24,4,2023,3
item3,15,4,2023,3
item4,23,4,2023,3
item5,12,4,2023,3
item6,14,4,2023,3
item7,12,4,2023,3
item1,26,4,2023,4
item2,21,4,2023,4
item3,21,4,2023,4
item4,21,4,2023,4
item5,8,4,2023,4
item6,15,4,2023,4
item7,6,4,2023,4
item1,32,4,2023,5
item2,25,4,2023,5
item3,19,4,2023,5
item4,23,4,2023,5
item5,6,4,2023,5
item6,17,4,2023,5
item7,13,4,2023,5
item1,30,4,2023,6
item2,23,4,2023,6
item3,15,4,2023,6
item4,21,4,2023,6
item5,11,4,2023,6
item6,19,4,2023,6
item7,3,4,2023,6
item1,33,4,2023,7
item2,24,4,2023,7
item3,15,4,2023,7
item4,18,4,2023,7
item5,4,4,2023,7
item6,16,4,2023,7
item7,8,4,2023,7
item1,29,4,2023,8
item2,25,4,2023,8
item3,19,4,2023,8
item4,28,4,2023,8
item5,8,4,2023,8
item6,15,4,2023,8
item1,28,4,2023,9
item2,18,4,2023,9
item3,16,4,2023,9
item4,23,4,2023,9
item5,3,4,2023,9
item6,17,4,2023,9
item1,34,4,2023,10
item2,24,4,2023,10
item3,22,4,2023,10
item4,23,4,2023,10
item5,8,4,2023,10
item6,18,4,2023,10
item7,5,4,2023,10
item1,29,4,2023,11
item2,23,4,2023,11
item3,12,4,2023,11
item4,25,4,2023,11
item5,6,4,2023,11
item6,17,4,2023,11
item1,34,4,2023,12
item2,17,4,2023,12
item3,13,4,2023,12
item4,25,4,2023,12
item5,9,4,2023,12
item6,12,4,2023,12
item7,8,4,2023,12
item7,25,4,2023,8
item7,31,4,2023,9
item7,31,4,2023,11
